op,kind,exists_in_library,is_operator_like,is_meaningful_op,count,datasets
torch.argmax,torch,True,True,True,10775,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.argmin,torch,True,True,True,9349,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.argsort,torch,True,True,True,8531,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.as_strided,torch,True,True,True,9,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.as_strided_scatter,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.asin,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.asinh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.atan,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.atan2,torch,True,True,True,128,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.atanh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.avg_pool1d,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.baddbmm,torch,True,True,True,6601,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.batch_norm_stats,torch,True,True,True,1,cudallm_sft
torch.binary_cross_entropy_with_logits,torch,True,True,True,7,"cuda_agent_6k_ops,cudallm_sft"
torch.bitwise_and,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.bitwise_left_shift,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.bitwise_not,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.bitwise_or,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.bitwise_xor,torch,True,True,True,7067,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.block_diag,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.bmm,torch,True,True,True,7744,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.broadcast_shapes,torch,True,True,True,2,cudallm_sft
torch.broadcast_tensors,torch,True,True,True,10,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.bucketize,torch,True,True,True,8064,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cat,torch,True,True,True,13186,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cdist,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.ceil,torch,True,True,True,8397,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.celu,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.channel_shuffle,torch,True,True,True,3,cuda_agent_6k_ops
torch.cholesky,torch,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.cholesky_solve,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.chunk,torch,True,True,True,140,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.clamp,torch,True,True,True,15747,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.clamp_max,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.clamp_min,torch,True,True,True,8614,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.clip,torch,True,True,True,8820,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.clone,torch,True,True,True,8359,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.compiler.is_compiling,torch,True,True,True,2,cuda_agent_6k_ops
torch.complex,torch,True,True,True,282,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.concat,torch,True,True,True,8,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.conj,torch,True,True,True,12,"cudallm_rl,drkernel_rl"
torch.conj_physical,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.constant_pad_nd,torch,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.conv2d,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.copysign,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.cos,torch,True,True,True,8789,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cosh,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.cosine_similarity,torch,True,True,True,16,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.count_nonzero,torch,True,True,True,8205,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cudnn_batch_norm,torch,True,True,True,3,cuda_agent_6k_ops
torch.cummax,torch,True,True,True,3,cuda_agent_6k_ops
torch.cummin,torch,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cumprod,torch,True,True,True,1004,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.cumsum,torch,True,True,True,10408,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.deg2rad,torch,True,True,True,8121,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.detach,torch,True,True,True,7056,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.diag,torch,True,True,True,8527,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.diag_embed,torch,True,True,True,120,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.diagflat,torch,True,True,True,1,cudallm_sft
torch.diagonal,torch,True,True,True,104,"cudallm_rl,drkernel_rl"
torch.diagonal_scatter,torch,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.digamma,torch,True,True,True,479,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.dist,torch,True,True,True,8585,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.distributions.Bernoulli,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.distributions.Categorical,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.div,torch,True,True,True,8885,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.divide,torch,True,True,True,34,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.dot,torch,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.dropout,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.einsum,torch,True,True,True,8418,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.embedding,torch,True,True,True,18,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.eq,torch,True,True,True,9085,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.equal,torch,True,True,True,6752,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.erf,torch,True,True,True,8090,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.exp,torch,True,True,True,9309,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.exp2,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.expm1,torch,True,True,True,8938,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.fft.fft2,torch,True,True,True,28,"cudallm_rl,drkernel_rl"
torch.fft.ifft,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.finfo,torch,True,True,True,25,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.fix,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.flatten,torch,True,True,True,501,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.flip,torch,True,True,True,8502,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.fliplr,torch,True,True,True,6,"cudallm_rl,drkernel_rl"
torch.float_power,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.floor,torch,True,True,True,8825,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.floor_divide,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.fmax,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.fmin,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.fmod,torch,True,True,True,8183,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.frac,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.frexp,torch,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.functional.F.relu,torch,True,True,True,9,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.functional.F.softmax,torch,True,True,True,9,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.fx.Proxy,torch,True,True,True,1,cuda_agent_6k_ops
torch.gather,torch,True,True,True,7179,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.ge,torch,True,True,True,8707,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.greater,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.gt,torch,True,True,True,8530,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.hardshrink,torch,True,True,True,3,"cudallm_sft,drkernel_coldstart"
torch.histc,torch,True,True,True,8473,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.hypot,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.i0,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.imag,torch,True,True,True,30,"cudallm_rl,drkernel_rl"
torch.index_copy,torch,True,True,True,3,cuda_agent_6k_ops
torch.index_fill,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.index_put,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.index_select,torch,True,True,True,6424,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.inverse,torch,True,True,True,4,cuda_agent_6k_ops
torch.is_complex,torch,True,True,True,8047,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.isfinite,torch,True,True,True,30,"cudallm_rl,drkernel_rl"
torch.isin,torch,True,True,True,8527,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.isinf,torch,True,True,True,9138,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.isnan,torch,True,True,True,9111,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.isneginf,torch,True,True,True,8673,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.isposinf,torch,True,True,True,9,"cudallm_rl,cudallm_sft,drkernel_rl"
torch.layer_norm,torch,True,True,True,1,cudallm_sft
torch.lcm,torch,True,True,True,12,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.ldexp,torch,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.le,torch,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.lerp,torch,True,True,True,14,"cudallm_rl,drkernel_rl"
torch.less,torch,True,True,True,24,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.lgamma,torch,True,True,True,1,cudallm_sft
torch.load,torch,True,True,True,1,cudallm_sft
torch.log,torch,True,True,True,8102,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.log10,torch,True,True,True,6526,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.log1p,torch,True,True,True,6683,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.log2,torch,True,True,True,6798,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.log_softmax,torch,True,True,True,8889,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logaddexp,torch,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logcumsumexp,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.logical_and,torch,True,True,True,9043,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logical_not,torch,True,True,True,8416,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logical_or,torch,True,True,True,8705,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logical_xor,torch,True,True,True,16,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.logit,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.logsumexp,torch,True,True,True,9572,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.lt,torch,True,True,True,8346,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.margin_ranking_loss,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.masked_fill,torch,True,True,True,7802,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.masked_scatter,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.masked_select,torch,True,True,True,7322,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.matmul,torch,True,True,True,8895,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.max,torch,True,True,True,10426,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.maximum,torch,True,True,True,8666,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.mean,torch,True,True,True,10836,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.median,torch,True,True,True,8573,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.meshgrid,torch,True,True,True,7659,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.min,torch,True,True,True,9381,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.minimum,torch,True,True,True,8699,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.mm,torch,True,True,True,7561,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.mode,torch,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.mul,torch,True,True,True,9033,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.multiply,torch,True,True,True,9627,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.mv,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nan_to_num,torch,True,True,True,8622,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nanmedian,torch,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nansum,torch,True,True,True,8243,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.narrow,torch,True,True,True,12,"cudallm_rl,drkernel_rl"
torch.native_batch_norm,torch,True,True,True,3,cuda_agent_6k_ops
torch.native_dropout,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.native_layer_norm,torch,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.ne,torch,True,True,True,8700,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.neg,torch,True,True,True,8175,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.negative,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nextafter,torch,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.AdaptiveAvgPool1d,torch.nn,True,True,True,8320,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AdaptiveAvgPool2d,torch.nn,True,True,True,9164,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AdaptiveAvgPool3d,torch.nn,True,True,True,887,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AdaptiveLogSoftmaxWithLoss,torch.nn,True,True,True,5111,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.AdaptiveMaxPool1d,torch.nn,True,True,True,29,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AdaptiveMaxPool2d,torch.nn,True,True,True,66,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AdaptiveMaxPool3d,torch.nn,True,True,True,7,"cuda_agent_6k_ops,cudallm_sft,drkernel_coldstart"
torch.nn.AvgPool1d,torch.nn,True,True,True,8162,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AvgPool2d,torch.nn,True,True,True,9766,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.AvgPool3d,torch.nn,True,True,True,1193,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.BCELoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.BCEWithLogitsLoss,torch.nn,True,True,True,7898,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.BatchNorm1d,torch.nn,True,True,True,9273,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.BatchNorm2d,torch.nn,True,True,True,10500,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.BatchNorm3d,torch.nn,True,True,True,7944,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Bilinear,torch.nn,True,True,True,42,"cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.CELU,torch.nn,True,True,True,17,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.CTCLoss,torch.nn,True,True,True,6,cuda_agent_6k_ops
torch.nn.ChannelShuffle,torch.nn,True,True,True,13,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.CircularPad1d,torch.nn,True,True,True,3,cuda_agent_6k_ops
torch.nn.CircularPad2d,torch.nn,True,True,True,4,"cudallm_sft,drkernel_coldstart"
torch.nn.CircularPad3d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.ConstantPad1d,torch.nn,True,True,True,8087,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ConstantPad2d,torch.nn,True,True,True,7907,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ConstantPad3d,torch.nn,True,True,True,11,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.Conv1d,torch.nn,True,True,True,22868,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Conv2d,torch.nn,True,True,True,35094,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Conv3d,torch.nn,True,True,True,17935,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ConvTranspose1d,torch.nn,True,True,True,20833,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ConvTranspose2d,torch.nn,True,True,True,21780,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.ConvTranspose3d,torch.nn,True,True,True,10051,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.CosineEmbeddingLoss,torch.nn,True,True,True,22,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.CosineSimilarity,torch.nn,True,True,True,102,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.CrossEntropyLoss,torch.nn,True,True,True,7607,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.CrossMapLRN2d,torch.nn,True,True,True,15,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Dropout,torch.nn,True,True,True,10707,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Dropout2d,torch.nn,True,True,True,7821,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Dropout3d,torch.nn,True,True,True,38,"cudallm_rl,drkernel_rl"
torch.nn.ELU,torch.nn,True,True,True,8727,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Embedding,torch.nn,True,True,True,13093,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Embedding.from_pretrained,torch.nn,True,True,True,42,"cudallm_rl,drkernel_rl"
torch.nn.EmbeddingBag,torch.nn,True,True,True,25,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.Flatten,torch.nn,True,True,True,8436,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Fold,torch.nn,True,True,True,8,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.FractionalMaxPool2d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.FractionalMaxPool3d,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.GELU,torch.nn,True,True,True,19390,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.GLU,torch.nn,True,True,True,8266,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.GRU,torch.nn,True,True,True,14,"cuda_agent_6k_ops,cudallm_rl,drkernel_rl"
torch.nn.GRUCell,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.GaussianNLLLoss,torch.nn,True,True,True,8,"cudallm_rl,drkernel_rl"
torch.nn.GroupNorm,torch.nn,True,True,True,10315,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Hardshrink,torch.nn,True,True,True,680,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
torch.nn.Hardsigmoid,torch.nn,True,True,True,262,"cuda_agent_6k_ops,cudallm_rl,cudallm_sft,drkernel_coldstart,drkernel_rl"
